Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
250516-89,2025-05-16,90001637096,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,775.000,850.000,Nepilna slodze,"","",2025-08-15,"","Smārdes pamatskola, Smārde, Smārdes pag., Tukuma nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414918252
250516-91,2025-05-16,90001637096,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,300.000,350.000,Nepilna slodze,"","",2025-08-15,"","Smārdes pamatskola, Smārde, Smārdes pag., Tukuma nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414918425
250516-87,2025-05-16,90001637096,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,350.000,450.000,Nepilna slodze,"","",2025-08-15,"","Smārdes pamatskola, Smārde, Smārdes pag., Tukuma nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414917909
250516-88,2025-05-16,90001637096,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1550.000,1650.000,Viena vesela slodze,"","",2025-08-15,"","Smārdes pamatskola, Smārde, Smārdes pag., Tukuma nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414918096
250616-38,2025-06-16,40900000578,MĀSA/ vispārējās aprūpes MĀSA bērnu aprūpē,Izglītība / Zinātne,965.000,965.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-31,"","Avotu iela 2, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417941842
250616-45,2025-06-16,40900000578,SPECIĀLAIS PEDAGOGS,Izglītība / Zinātne,1175.000,1175.000,Viena vesela slodze,"","",2025-09-01,"","Avotu iela 2, Lielvārde, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417945245
250721-15,2025-07-21,40900040335,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1570.000,1570.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-01,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421160892
250721-14,2025-07-21,40900040335,Izglītības un skolu PSIHOLOGS,Izglītība / Zinātne,1260.000,1260.000,"","",30,2025-08-01,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421159095
250721-12,2025-07-21,40900040335,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1260.000,1260.000,Viena vesela slodze,Normālais darba laiks,30,2025-08-01,"","Veselības iela 7, Olaine, Olaines nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421158537
250721-100,2025-07-21,40003344207,Datu ANALĪTIĶIS,Būvniecība / Nekustamais īpašums,1900.000,2100.000,"","","",2025-08-04,"","Emīlijas Benjamiņas iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421210295
250728-119,2025-07-28,90000282046,VECĀKAIS EKSPERTS,Vadība / Administrēšana,1900.000,1900.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-06,"","Čiekurkalna 1. līnija 1 k-2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421798277
250701-179,2025-07-01,40900012365,SKOLOTĀJS LOGOPĒDS,Izglītība / Zinātne,1502.000,1502.000,"","","",2025-08-18,"","Gaujas iela 30, Ādaži, Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419288926
250701-182,2025-07-01,40900012365,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,"","","",2025-08-18,"","Gaujas iela 30, Ādaži, Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419294692
250718-46,2025-07-18,40003793653,VIZUĀLĀS REKLĀMAS DIZAINA SPECIĀLISTS,Kultūra / Māksla,1500.000,1500.000,Viena vesela slodze,"",40,2025-08-03,"","Kaļķu iela 16, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421065015
250709-108,2025-07-09,90009114839,JURISTS,Cita,1320.000,1320.000,Viena vesela slodze,"","",2025-07-31,"","Beverīnas iela 3, Valka, Valkas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420316521
250714-144,2025-07-14,90009114839,TŪRISMA INFORMĀCIJAS KONSULTANTS,Valsts pārvalde,1000.000,1000.000,Viena vesela slodze,"","",2025-07-31,"","Semināra iela 1, Valka, Valkas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420686723
250729-10,2025-07-29,90009114839,PAŠVALDĪBAS PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Cita,1860.000,1860.000,Viena vesela slodze,"","",2025-08-10,"","Beverīnas iela 3, Valka, Valkas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421854183
250522-218,2025-05-23,90000067986,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-15,"","Mediķu iela 4, Langstiņi, Garkalnes pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/415542507
250610-67,2025-06-10,90000067986,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Institūta iela 34, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417405490
250610-70,2025-06-10,90000067986,SKOLOTĀJA PALĪGS,Izglītība / Zinātne,900.000,900.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Institūta iela 34, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417406900
250610-69,2025-06-10,90000067986,PIRMSSKOLAS IZGLĪTĪBAS MŪZIKAS SKOLOTĀJS,Izglītība / Zinātne,1600.000,1600.000,Nepilna slodze,Nepilnais darba laiks,"",2025-07-31,"","Institūta iela 34, Ulbroka, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417406472
250620-8,2025-06-20,90000067986,AUKLIS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,"","",2025-08-30,"","Kaudzīšu iela 31, Rumbula, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418404470
250620-19,2025-06-20,90000067986,AUKLIS,Izglītība / Zinātne,740.000,740.000,Viena vesela slodze,"","",2025-08-30,"","Kaudzīšu iela 31, Rumbula, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418411832
250528-56,2025-05-28,90000067986,PEDAGOGA PALĪGS,Izglītība / Zinātne,1320.000,1518.000,Viena vesela slodze,"",40,2025-08-30,"","Kaudzīšu iela 31, Rumbula, Stopiņu pag., Ropažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/415999523
